year,week,gross,top_release,releases,long_weekend
1991,6,103751359,Sleeping with the Enemy,31,false
1991,7,108176109,The Silence of the Lambs,20,false
1991,8,79930356,The Silence of the Lambs,17,false
1991,9,76044698,The Silence of the Lambs,19,false
1991,10,90799629,The Silence of the Lambs,25,false
1991,11,79232807,The Silence of the Lambs,23,false
1991,12,96091061,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,25,false
1991,13,78148962,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,21,false
1991,14,66694904,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,20,false
1991,15,57685656,Out for Justice,19,false
1991,16,55083951,Out for Justice,16,false
1991,17,50721003,Oscar,23,false
1991,18,42067247,Oscar,20,false
1991,19,52515648,F/X2,23,false
1991,20,53896535,What About Bob?,26,false
1991,21,97143751,Backdraft,27,false
1991,22,67831157,Backdraft,18,false
1991,23,86317197,City Slickers,20,false
1991,24,101380708,Robin Hood: Prince of Thieves,17,false
1991,25,108867478,Robin Hood: Prince of Thieves,18,false
1991,26,140931592,The Naked Gun 2½: The Smell of Fear,22,false
1991,27,147539347,Terminator 2: Judgment Day,21,false
1991,28,151048879,Terminator 2: Judgment Day,19,false
1991,29,125718279,Terminator 2: Judgment Day,20,false
1991,30,117497140,Terminator 2: Judgment Day,21,false
1991,31,107540364,Hot Shots!,21,false
1991,32,93972890,Hot Shots!,23,false
1991,33,77392558,Hot Shots!,23,false
1991,34,83652694,Point Break,27,false
1991,35,63707093,Dead Again,23,false
1991,36,52940133,Dead Again,24,false
1991,37,49449594,Freddy's Dead: The Final Nightmare,17,false
1991,38,46085878,Freddy's Dead: The Final Nightmare,22,false
1991,39,60511647,The Fisher King,23,false
1991,40,59026742,The Fisher King,27,false
1991,41,59642432,The Fisher King,28,false
1991,42,54694070,Other People's Money,22,false
1991,43,51181109,House Party 2,21,false
1991,44,70650676,The People Under the Stairs,22,false
1991,45,51840878,Curly Sue,18,false
1991,46,56990709,Cape Fear,23,false
1991,47,104270061,The Addams Family,25,false
1991,48,86672451,The Addams Family,20,false
1991,49,71429224,Star Trek VI: The Undiscovered Country,22,false
1991,50,70961979,Hook,19,false
1991,51,116223230,Hook,19,false
1991,52,177353131,Hook,23,false
1992,1,96538165,Hook,19,false
1992,2,87991764,The Hand That Rocks the Cradle,23,false
1992,3,95645942,The Hand That Rocks the Cradle,21,false
1992,4,79391330,The Hand That Rocks the Cradle,19,false
1992,5,71501782,The Hand That Rocks the Cradle,17,false
1992,6,64942701,Medicine Man,18,false
1992,7,93877164,Wayne's World,22,false
1992,8,77606181,Wayne's World,25,false
1992,9,66019781,Wayne's World,27,false
1992,10,78582875,Wayne's World,25,false
1992,11,71787513,Wayne's World,26,false
1992,12,91848984,Basic Instinct,30,false
1992,13,93037547,White Men Can't Jump,30,false
